,AirfoilName
849,goe612-il
850,goe613-il
851,goe614-il
852,goe615-il
853,goe617-il
854,goe619-il
855,goe620-il
856,goe621-il
857,goe622-il
858,goe623-il
859,goe624-il
860,goe625-il
861,goe626-il
862,goe627-il
863,goe628-il
864,goe629-il
865,goe63-il
866,goe630-il
867,goe632-il
868,goe633-il
869,goe645-il
870,goe646-il
871,goe647-il
872,goe648-il
873,goe650-il
874,goe652-il
875,goe654-il
876,goe655-il
877,goe670-il
878,goe673-il
879,goe675-il
880,goe676-il
881,goe677-il
882,goe679-il
883,goe681-il
884,goe682-il
885,goe683-il
886,goe685-il
887,goe692-il
888,goe693-il
889,goe701-il
890,goe702-il
891,goe703-il
892,goe704-il
893,goe711-il
894,goe723-il
895,goe735-il
896,goe738-il
897,goe741-il
898,goe744-il
899,goe746-il
900,goe758-il
901,goe765-il
902,goe766-il
903,goe767-il
904,goe769-il
905,goe770-il
906,goe775-il
907,goe776-il
908,goe777-il
909,goe780-il
910,goe79-il
911,goe795-il
912,goe795sm-il
913,goe796-il
914,goe797-il
915,goe798-il
916,goe801-il
917,goe802-il
918,goe802a-il
919,goe802b-il
920,goe803h-il
921,goe804-il
922,goe81-il
923,goe92-il
924,griffith30symsuction-il
925,gs1-il
926,gu255118-il
927,hh02-il
928,hobie-il
929,hobiesm-il
930,hor04-il
931,hor07-il
932,hor12-il
933,hor20-il
934,hq010-il
935,hq07-il
936,hq09-il
937,hq1010-il
938,hq1012-il
939,hq108-il
940,hq109-il
941,hq1510-il
942,hq1511-il
943,hq1512-il
944,hq158-il
945,hq1585-il
946,hq159-il
947,hq159b-il
948,hq17-il
949,hq2010-il
950,hq2012-il
951,hq208-il
952,hq209-il
953,hq2090sm-il
954,hq2195-il
955,hq2510-il
956,hq2511-il
957,hq2512-il
958,hq258-il
959,hq259-il
960,hq2590sm-il
961,hq259b-il
962,hq300gd2-il
963,hq3010-il
964,hq3011-il
965,hq3012-il
966,hq3013-il
967,hq3014-il
968,hq3015-il
969,hq308-il
970,hq309-il
971,hq3510-il
972,hq3512-il
973,hq3513-il
974,hq3514-il
975,hq3518-il
976,hq358-il
977,hq359-il
978,hs1404-il
979,hs1430-il
980,hs1606-il
981,hs1620-il
982,hs1708-il
983,hs1712-il
984,hsnlf213-il
985,ht05-il
986,ht08-il
987,ht12-il
988,ht22-il
989,ht23-il
990,isa571-il
991,isa960-il
992,isa961-il
993,isa962-il
994,j5012-il
995,jn153-il
996,joukowsk-il
997,joukowsk0009-jf
998,joukowsk0015-jf
999,joukowsk0018-jf
1000,joukowsk0021-jf
1001,k1-il
1002,k2-il
1003,k3-il
1004,k3311-il
1005,k3311sm-il
1006,kc135a-il
1007,kc135b-il
1008,kc135c-il
1009,kc135d-il
1010,kc135winglet-il
1011,kenmar-il
1012,l1003-il
1013,l188root-il
1014,l188tip-il
1015,l7769-il
1016,la203a-il
1017,la2573a-il
1018,la5055-il
1019,lds2-il
1020,lg10sc-il
1021,lnv109a-il
1022,lrn1007-il
1023,lrn1015-il
1024,ls013-il
1025,ls413-il
1026,ls413mod-il
1027,ls417-il
1028,ls417mod-il
1029,ls421-il
1030,ls421mod-il
1031,lwk79100-il
1032,lwk80080-il
1033,lwk80100-il
1034,lwk80120k25-il
1035,lwk80150k25-il
1036,m1-il
1037,m10-il
1038,m11-il
1039,m12-il
1040,m13-il
1041,m14-il
1042,m15-il
1043,m16-il
1044,m17-il
1045,m18-il
1046,m19-il
1047,m2-il
1048,m20-il
1049,m21-il
1050,m22-il
1051,m23-il
1052,m24-il
1053,m25-il
1054,m26-il
1055,m27-il
1056,m3-il
1057,m4-il
1058,m5-il
1059,m6-il
1060,m665-il
1061,m685-il
1062,m7-il
1063,m8-il
1064,m9-il
1065,ma409-il
1066,ma409sm-il
1067,marsden-il
1068,marske1-il
1069,marske2-il
1070,marske3-il
1071,marske4-il
1072,marske5-il
1073,marske7-il
1074,mb253515sm-il
1075,mh102-il
1076,mh104-il
1077,mh106-il
1078,mh108-il
1079,mh110-il
1080,mh112-il
1081,mh113-il
1082,mh114-il
1083,mh115-il
1084,mh116-il
1085,mh117-il
1086,mh120-il
1087,mh121-il
1088,mh122-il
1089,mh150-il
1090,mh18-il
1091,mh20-il
1092,mh200-il
1093,mh201-il
1094,mh22-il
1095,mh23-il
1096,mh24-il
1097,mh25-il
1098,mh26-il
1099,mh27-il
1100,mh30-il
1101,mh32-il
1102,mh33-il
1103,mh38-il
1104,mh42-il
1105,mh43-il
1106,mh44-il
1107,mh45-il
1108,mh46-il
1109,mh60-il
1110,mh61-il
1111,mh62-il
1112,mh64-il
1113,mh70-il
1114,mh78-il
1115,mh80-il
1116,mh81-il
1117,mh82-il
1118,mh83-il
1119,mh84-il
1120,mh91-il
1121,mh92-il
1122,mh93-il
1123,mh94-il
1124,mh95-il
1125,miley-il
1126,mrc-16-il
1127,mrc-20-il
1128,ms313-il
1129,ms317-il
1130,mue139-il
1131,n0009sm-il
1132,n0011sc-il
1133,n0012-il
1134,n10-il
1135,n11-il
1136,n11h9-il
1137,n12-il
1138,n13-il
1139,n14-il
1140,n1h15-il
1141,n22-il
1142,n24-il
1143,n2414-il
1144,n2415-il
1145,n2h15-il
1146,n5h10-il
1147,n5h15-il
1148,n5h20-il
1149,n63010a-il
1150,n63012a-il
1151,n63015a-il
1152,n63210-il
1153,n63212-il
1154,n63215-il
1155,n63215b-il
1156,n63412-il
1157,n63415-il
1158,n64008a-il
1159,n64012-il
1160,n64012a-il
1161,n64015-il
1162,n64015a-il
1163,n6409-il
1164,n64108-il
1165,n64110-il
1166,n64212-il
1167,n64212ma-il
1168,n64212mb-il
1169,n64215-il
1170,n66021-il
1171,n6h10-il
1172,n6h15-il
1173,n6h20-il
1174,n8h12-il
1175,n9-il
1176,naca0006-il
1177,naca0008-il
1178,naca000834-il
1179,naca0010-il
1180,naca001034-il
1181,naca001034a08cli02-il
1182,naca001035-il
1183,naca001064-il
1184,naca001065-il
1185,naca001066-il
1186,naca001234-il
1187,naca001264-il
1188,naca001264a08cli02-il
1189,naca0012h-sa
1190,naca0015-il
1191,naca0018-il
1192,naca0021-il
1193,naca0024-il
1194,naca1408-il
1195,naca1410-il
1196,naca1412-il
1197,naca16006-il
1198,naca16009-il
1199,naca16012-il
1200,naca16015-il
1201,naca16018-il
1202,naca16021-il
1203,naca22112-jf
1204,naca23012-il
1205,naca23015-il
1206,naca23018-il
1207,naca23021-il
1208,naca23024-il
1209,naca23112-jf
1210,naca2408-il
1211,naca2410-il
1212,naca2411-il
1213,naca24112-jf
1214,naca2412-il
1215,naca2415-il
1216,naca2418-il
1217,naca2421-il
1218,naca2424-il
1219,naca25112-jf
1220,naca4412-il
1221,naca4415-il
1222,naca4418-il
1223,naca4421-il
1224,naca4424-il
1225,naca63206-il
1226,naca63209-il
1227,naca632615-il
1228,naca632a015-il
1229,naca633018-il
1230,naca633218-il
1231,naca633418-il
1232,naca633618-il
1233,naca634221-il
1234,naca634421-il
1235,naca63a210-il
1236,naca641112-il
1237,naca6412-il
1238,naca64206-il
1239,naca64208-il
1240,naca64209-il
1241,naca64210-il
1242,naca642215-il
1243,naca642415-il
1244,naca643218-il
1245,naca643418-il
1246,naca643618-il
1247,naca644221-il
1248,naca644421-il
1249,naca64a010-il
1250,naca64a210-il
1251,naca64a410-il
1252,naca651212-il
1253,naca651212a06-il
1254,naca651412-il
1255,naca65206-il
1256,naca65209-il
1257,naca65210-il
1258,naca652215-il
1259,naca652415-il
1260,naca652415a05-il
1261,naca653218-il
1262,naca653618-il
1263,naca65410-il
1264,naca654221-il
1265,naca654421-il
1266,naca654421a05-il
1267,naca66-018-il
1268,naca661212-il
1269,naca66206-il
1270,naca66209-il
1271,naca66210-il
1272,naca662215-il
1273,naca662415-il
1274,naca663218-il
1275,naca663418-il
1276,naca664221-il
1277,naca671215-il
1278,naca747a315-il
1279,naca747a415-il
1280,nacacyh-il
1281,nacam12-il
1282,nacam18-il
1283,nacam2-il
1284,nacam3-il
1285,nacam6-il
1286,nasasc2-0714-il
1287,ncambre-il
1288,nl722343-il
1289,nl722362-il
1290,nlf0115-il
1291,nlf0215f-il
1292,nlf1015-il
1293,nlf414f-il
1294,nlf415-il
1295,nlf416-il
1296,nlr1t-il
1297,nlr7301-il
1298,nn7mk20-il
1299,npl9510-il
1300,npl9615-il
1301,npl9626-il
1302,npl9627-il
1303,npl9660-il
1304,nplx-il
1305,oa206-il
1306,oa209-il
1307,oa212-il
1308,oa213-il
1309,oaf095-il
1310,oaf102-il
1311,oaf117-il
1312,oaf128-il
1313,oaf139-il
1314,p51droot-il
1315,p51dtip-il
1316,p51hroot-il
1317,p51htip-il
1318,pfcm-il
1319,pmc19sm-il
1320,prandtl-d-root-ns
1321,prandtl-d-tip-ns
1322,psu-90-125wl-il
1323,psu94097-il
1324,pt40-il
1325,pw106-pw
1326,pw1211-pw
1327,pw51-pw
1328,pw75-pw
1329,pw98mod-pw
1330,r1046-il
1331,r1080-il
1332,r1082-il
1333,r1082t-il
1334,r140-il
1335,r140sm-il
1336,rae100-il
1337,rae101-il
1338,rae102-il
1339,rae103-il
1340,rae104-il
1341,rae2822-il
1342,rae5212-il
1343,rae5213-il
1344,rae5214-il
1345,rae5215-il
1346,rae69ck-il
1347,raf15-il
1348,raf19-il
1349,raf25-il
1350,raf26-il
1351,raf27-il
1352,raf28-il
1353,raf30-il
1354,raf30md-il
1355,raf31-il
1356,raf32-il
1357,raf32md-il
1358,raf33-il
1359,raf34-il
1360,raf38-il
1361,raf48-il
1362,raf6-il
1363,raf69-il
1364,raf89-il
1365,rc0864c-il
1366,rc08b3-il
1367,rc08n1-il
1368,rc1064c-il
1369,rc10b3-il
1370,rc10n1-il
1371,rc1264c-il
1372,rc12b3-il
1373,rc12n1-il
1374,rc410-il
1375,rc510-il
1376,rcsc2-il
1377,rg12-il
1378,rg12a-il
1379,rg12a189-il
1380,rg14-il
1381,rg1410-il
1382,rg149-il
1383,rg1495-il
1384,rg14a147-il
1385,rg15-il
1386,rg15a111-il
1387,rg15a213-il
1388,rg8-il
1389,rhodesg30-il
1390,rhodesg32-il
1391,rhodesg34-il
1392,rhodesg36-il
1393,s1010-il
1394,s1012-il
1395,s1014-il
1396,s1016-il
1397,s1020-il
1398,s102b-il
1399,s102s-il
1400,s1046-il
1401,s1048-il
1402,s1091-il
1403,s1210-il
1404,s1221-flap-il
1405,s1221-il
1406,s1223-il
1407,s1223rtl-il
1408,s2027-il
1409,s2046-il
1410,s2048-il
1411,s2050-il
1412,s2055-il
1413,s2060-il
1414,s2062-il
1415,s2091-il
1416,s3-il
1417,s3002-il
1418,s3010-il
1419,s3014-il
1420,s3016-il
1421,s3021-il
1422,s3024-il
1423,s3025-il
1424,s4022-il
1425,s4053-il
1426,s4061-il
1427,s4062-il
1428,s4083-il
1429,s4094-il
1430,s4095-il
1431,s4096-il
1432,s4110-il
1433,s4158-il
1434,s4180-il
1435,s4233-il
1436,s4310-il
1437,s4320-il
1438,s5010-il
1439,s5020-il
1440,s6061-il
1441,s6062-il
1442,s6063-il
1443,s7012-il
1444,s7055-il
1445,s7075-il
1446,s801-nr
1447,s802-nr
1448,s8025-il
1449,s803-nr
1450,s8035-il
1451,s8036-il
1452,s8037-il
1453,s8038-il
1454,s804-nr
1455,s8052-il
1456,s8055-il
1457,s805a-nr
1458,s8064-il
1459,s8065-il
1460,s8066-il
1461,s806a-nr
1462,s807-nr
1463,s808-nr
1464,s809-nr
1465,s810-nr
1466,s811-nr
1467,s812-nr
1468,s813-nr
1469,s814-nr
1470,s815-nr
1471,s816-nr
1472,s817-nr
1473,s818-nr
1474,s819-nr
1475,s820-nr
1476,s821-nr
1477,s822-nr
1478,s823-nr
1479,s825-nr
1480,s826-nr
1481,s827-nr
1482,s828-nr
1483,s829-nr
1484,s830-nr
1485,s831-nr
1486,s832-nr
1487,s833-nr
1488,s834-nr
1489,s835-nr
1490,s9000-il
1491,s9026-il
1492,s9027-il
1493,s9032-il
1494,s9033-il
1495,s9037-il
1496,sa7024-il
1497,sa7025-il
1498,sa7026-il
1499,sa7035-il
1500,sa7036-il
1501,sa7038-il
1502,saratov-il
1503,sc1012r8-il
1504,sc1094r8-il
1505,sc1095-il
1506,sc1095r8-il
1507,sc20010-il
1508,sc20012-il
1509,sc20402-il
1510,sc20403-il
1511,sc20404-il
1512,sc20406-il
1513,sc20410-il
1514,sc20412-il
1515,sc20414-il
1516,sc20503-il
1517,sc20518-il
1518,sc20606-il
1519,sc20610-il
1520,sc20612-il
1521,sc20614-il
1522,sc20706-il
1523,sc20710-il
1524,sc20712-il
1525,sc20714-il
1526,sc21006-il
1527,sc21010-il
1528,sc2110-il
1529,sd2030-il
1530,sd2083-il
1531,sd5060-il
1532,sd6060-il
1533,sd6080-il
1534,sd7003-il
1535,sd7032-il
1536,sd7034-il
1537,sd7037-il
1538,sd7043-il
1539,sd7062-il
1540,sd7080-il
1541,sd7084-il
1542,sd7090-il
1543,sd8000-il
1544,sd8020-il
1545,sd8040-il
1546,sg6040-il
1547,sg6041-il
1548,sg6042-il
1549,sg6043-il
1550,sg6050-il
1551,sg6051-il
1552,sm701-il
1553,sokolov-il
1554,sp4621hp-po
1555,sp4721la-po
1556,spicasm-il
1557,ssca07-il
1558,ssca09-il
1559,stcyr171-il
1560,stcyr172-il
1561,stcyr234-il
1562,stcyr24-il
1563,ste87151-il
1564,ste87391-il
1565,stf86361-il
1566,strand-il
1567,supermarine371i-il
1568,supermarine371ii-il
1569,tempest1-il
1570,tempest2-il
1571,tempest3-il
1572,th25816-il
1573,trainer60-il
1574,tsagi-r-3a-il
1575,tsagi12-il
1576,tsagi8-il
1577,ua2-180-il
1578,ua2-180sm-il
1579,ua79sf18-il
1580,ua79sff-il
1581,ua79sfm-il
1582,uag8814320-il
1583,ui1720-il
1584,ultimate-il
1585,us1000root-il
1586,usa22-il
1587,usa25-il
1588,usa26-il
1589,usa27-il
1590,usa27m2-il
1591,usa28-il
1592,usa29-il
1593,usa31-il
1594,usa32-il
1595,usa33-il
1596,usa34-il
1597,usa35-il
1598,usa35a-il
1599,usa35b-il
1600,usa40-il
1601,usa40b-il
1602,usa41-il
1603,usa45-il
1604,usa45m-il
1605,usa46-il
1606,usa48-il
1607,usa49-il
1608,usa5-il
1609,usa50-il
1610,usa51-il
1611,usa98-il
1612,usnps4-il
1613,v13006-il
1614,v13009-il
1615,v23010-il
1616,v43012-il
1617,v43015-il
1618,vr1-il
1619,vr11x-il
1620,vr12-il
1621,vr13-il
1622,vr14-il
1623,vr15-il
1624,vr5-il
1625,vr7-il
1626,vr7b-il
1627,vr8-il
1628,vr8b-il
1629,vr9-il
1630,waspsm-il
1631,wb13535sm-il
1632,wb140-il
1633,whitcomb-il
1634,ys900-il
1635,ys915-il
1636,ys930-il
